State,Atmospheric Condition,Crash Date,Fatalities in crash,Roadway,Age,Person Type,Injury Severity,Crash Date.day-of-week
New Jersey,Clear,2/3/2011,2,Rural-Major Collector,21,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Minnesota,Clear,2/3/2011,1,Rural-Minor Arterial,21,Driver of a Motor Vehicle In-Transport,Possible Injury (C),4
Minnesota,Clear,2/3/2011,1,Rural-Minor Arterial,23,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Nevada,Clear,2/3/2011,1,Urban-Local Road or Street,54,Pedestrian,Fatal Injury (K),4
Nevada,Clear,2/3/2011,1,Urban-Local Road or Street,85,Driver of a Motor Vehicle In-Transport,No Injury (O),4
New Mexico,Clear,2/3/2011,2,Rural-Principal Arterial-Other,43,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Washington,Clear,2/3/2011,1,Urban-Local Road or Street,58,Driver of a Motor Vehicle In-Transport,Possible Injury (C),4
Washington,Clear,2/3/2011,1,Urban-Local Road or Street,88,Pedestrian,Fatal Injury (K),4
West Virginia,Cloudy,2/3/2011,1,Rural-Local Road or Street,21,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),4
West Virginia,Cloudy,2/3/2011,1,Rural-Local Road or Street,30,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),4
Kansas,Clear,2/3/2011,1,Rural-Minor Arterial,47,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Kansas,Clear,2/3/2011,1,Rural-Minor Arterial,56,Driver of a Motor Vehicle In-Transport,Possible Injury (C),4
Missouri,Other,2/3/2011,1,Urban-Minor Arterial,60,Pedestrian,Fatal Injury (K),4
Louisiana,Cloudy,2/3/2011,1,Rural-Major Collector,32,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Louisiana,Rain,2/3/2011,1,Rural-Local Road or Street,53,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Nebraska,Clear,2/3/2011,1,Rural-Minor Arterial,30,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),4
Nebraska,Clear,2/3/2011,1,Rural-Principal Arterial-Other,64,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Alabama,Rain,2/3/2011,1,Urban-Principal Arterial-Interstate,23,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),4
Alabama,Rain,2/3/2011,1,Urban-Principal Arterial-Interstate,,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),4
Tennessee,Clear,2/3/2011,1,Rural-Principal Arterial-Other,28,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Tennessee,Clear,2/3/2011,1,Urban-Minor Arterial,14,Passenger of a Motor Vehicle In-Transport,No Injury (O),4
Tennessee,Clear,2/3/2011,1,Urban-Minor Arterial,22,Passenger of a Motor Vehicle In-Transport,No Injury (O),4
Florida,"Fog, Smog, Smoke",2/3/2011,1,Rural-Minor Arterial,45,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Mississippi,"Sleet, Hail (Freezing Rain or Drizzle)",2/3/2011,1,Rural-Principal Arterial-Interstate,23,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Mississippi,"Sleet, Hail (Freezing Rain or Drizzle)",2/3/2011,1,Rural-Principal Arterial-Other,30,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),4
Mississippi,"Sleet, Hail (Freezing Rain or Drizzle)",2/3/2011,1,Rural-Principal Arterial-Other,40,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),4
Indiana,Clear,2/3/2011,1,Rural-Local Road or Street,38,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),4
Indiana,Clear,2/3/2011,1,Rural-Local Road or Street,47,Driver of a Motor Vehicle In-Transport,No Injury (O),4
Indiana,Clear,2/3/2011,1,Rural-Local Road or Street,47,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),4
Indiana,Clear,2/3/2011,1,Rural-Local Road or Street,60,Driver of a Motor Vehicle In-Transport,No Injury (O),4
Indiana,Clear,2/3/2011,1,Rural-Local Road or Street,,Passenger of a Motor Vehicle In-Transport,No Injury (O),4
Mississippi,"Sleet, Hail (Freezing Rain or Drizzle)",2/3/2011,1,Rural-Principal Arterial-Interstate,35,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),4
Mississippi,"Sleet, Hail (Freezing Rain or Drizzle)",2/3/2011,1,Rural-Principal Arterial-Interstate,75,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),4
Washington,Clear,2/3/2011,1,Urban-Minor Arterial,41,Pedestrian,Fatal Injury (K),4
Washington,Clear,2/3/2011,1,Urban-Minor Arterial,52,Driver of a Motor Vehicle In-Transport,No Injury (O),4
Indiana,Cloudy,2/3/2011,2,Urban-Principal Arterial-Interstate,30,Driver of a Motor Vehicle In-Transport,No Injury (O),4
Indiana,Cloudy,2/3/2011,2,Urban-Principal Arterial-Interstate,37,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),4
Indiana,Cloudy,2/3/2011,2,Urban-Principal Arterial-Interstate,47,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),4
Michigan,Snow,2/3/2011,3,Rural-Principal Arterial-Other,30,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Michigan,Snow,2/3/2011,3,Rural-Principal Arterial-Other,52,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Alabama,"Sleet, Hail (Freezing Rain or Drizzle)",2/3/2011,2,Rural-Principal Arterial-Other,32,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),4
Alabama,"Sleet, Hail (Freezing Rain or Drizzle)",2/3/2011,2,Rural-Principal Arterial-Other,33,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),4
Alabama,"Sleet, Hail (Freezing Rain or Drizzle)",2/3/2011,2,Rural-Principal Arterial-Other,63,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),4
Alabama,"Sleet, Hail (Freezing Rain or Drizzle)",2/3/2011,2,Rural-Principal Arterial-Other,70,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),4
New Jersey,Clear,2/3/2011,1,Urban-Principal Arterial-Interstate,53,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),4
New Jersey,Clear,2/3/2011,1,Urban-Principal Arterial-Interstate,79,Driver of a Motor Vehicle In-Transport,Possible Injury (C),4
Alabama,"Sleet, Hail (Freezing Rain or Drizzle)",2/3/2011,1,Urban-Principal Arterial-Interstate,30,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Pennsylvania,Clear,2/3/2011,1,Rural-Major Collector,23,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Tennessee,Clear,2/3/2011,1,Rural-Minor Arterial,66,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Michigan,Clear,2/3/2011,1,Urban-Other Principal Arterial,10,Passenger of a Motor Vehicle In-Transport,No Injury (O),4
Michigan,Clear,2/3/2011,1,Urban-Other Principal Arterial,10,Passenger of a Motor Vehicle In-Transport,Possible Injury (C),4
Pennsylvania,Clear,2/3/2011,1,Urban-Other Principal Arterial,24,Driver of a Motor Vehicle In-Transport,No Injury (O),4
Pennsylvania,Clear,2/3/2011,1,Urban-Other Principal Arterial,53,Pedestrian,Fatal Injury (K),4
Tennessee,Clear,2/3/2011,1,Urban-Minor Arterial,60,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
New Jersey,Clear,2/3/2011,2,Rural-Major Collector,22,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),4
Montana,"Sleet, Hail (Freezing Rain or Drizzle)",2/4/2011,1,Rural-Principal Arterial-Other,28,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Wyoming,Clear,2/4/2011,1,Rural-Principal Arterial-Other,39,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Wyoming,Cloudy,2/4/2011,1,Rural-Principal Arterial-Interstate,24,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Montana,"Sleet, Hail (Freezing Rain or Drizzle)",2/4/2011,1,Rural-Principal Arterial-Other,27,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),5
Hawaii,Clear,2/4/2011,1,Urban-Principal Arterial-Interstate,19,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),5
Nevada,Clear,2/4/2011,1,Rural-Unknown Rural,50,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Minnesota,Clear,2/4/2011,1,Rural-Principal Arterial-Other,15,Passenger of a Motor Vehicle In-Transport,No Injury (O),5
Minnesota,Clear,2/4/2011,1,Rural-Principal Arterial-Other,42,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Minnesota,Clear,2/4/2011,1,Rural-Principal Arterial-Other,55,Driver of a Motor Vehicle In-Transport,No Injury (O),5
Washington,Clear,2/4/2011,1,Rural-Local Road or Street,16,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Colorado,Clear,2/4/2011,1,Rural-Major Collector,51,Driver of a Motor Vehicle In-Transport,No Injury (O),5
Ohio,Cloudy,2/4/2011,1,Rural-Major Collector,21,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),5
Colorado,Clear,2/4/2011,1,Urban-Other Principal Arterial,22,Driver of a Motor Vehicle In-Transport,No Injury (O),5
Colorado,Clear,2/4/2011,1,Urban-Other Principal Arterial,64,Pedestrian,Fatal Injury (K),5
Maryland,Clear,2/4/2011,1,Rural-Minor Arterial,29,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),5
Maryland,Clear,2/4/2011,1,Rural-Minor Arterial,44,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),5
Maryland,Clear,2/4/2011,1,Rural-Minor Arterial,44,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),5
Maryland,Clear,2/4/2011,1,Urban-Principal Arterial-Interstate,76,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
New Jersey,Clear,2/4/2011,1,Urban-Principal Arterial-Other Freeways or Expressways,35,Passenger of a Motor Vehicle In-Transport,No Injury (O),5
New Jersey,Clear,2/4/2011,1,Urban-Principal Arterial-Other Freeways or Expressways,51,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Arkansas,Snow,2/4/2011,1,Rural-Principal Arterial-Other,46,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Arkansas,Snow,2/4/2011,1,Rural-Principal Arterial-Other,53,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),5
Illinois,Clear,2/4/2011,1,Urban-Principal Arterial-Other Freeways or Expressways,29,Passenger of a Motor Vehicle In-Transport,No Injury (O),5
Illinois,Clear,2/4/2011,1,Urban-Principal Arterial-Other Freeways or Expressways,37,Driver of a Motor Vehicle In-Transport,No Injury (O),5
Arkansas,Blowing Snow,2/4/2011,1,Rural-Principal Arterial-Other,42,Driver of a Motor Vehicle In-Transport,No Injury (O),5
Arkansas,Blowing Snow,2/4/2011,1,Rural-Principal Arterial-Other,49,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Kansas,Clear,2/4/2011,1,Rural-Local Road or Street,21,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
New York,Clear,2/4/2011,1,Rural-Local Road or Street,47,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
South Carolina,Rain,2/4/2011,1,Rural-Major Collector,55,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Arkansas,Rain,2/4/2011,1,Rural-Major Collector,15,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),5
Arkansas,Rain,2/4/2011,1,Rural-Major Collector,43,Driver of a Motor Vehicle In-Transport,No Injury (O),5
Arkansas,Snow,2/4/2011,1,Urban-Minor Arterial,11,Passenger of a Motor Vehicle In-Transport,Possible Injury (C),5
Arkansas,Snow,2/4/2011,1,Urban-Minor Arterial,72,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Kentucky,Clear,2/4/2011,1,Urban-Local Road or Street,69,Driver of a Motor Vehicle In-Transport,No Injury (O),5
Kentucky,Clear,2/4/2011,1,Urban-Local Road or Street,70,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Louisiana,"Sleet, Hail (Freezing Rain or Drizzle)",2/4/2011,1,Rural-Principal Arterial-Interstate,39,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
New York,Cloudy,2/4/2011,1,Urban-Principal Arterial-Interstate,25,Driver of a Motor Vehicle In-Transport,No Injury (O),5
New York,Cloudy,2/4/2011,1,Urban-Principal Arterial-Interstate,28,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),5
Florida,"Fog, Smog, Smoke",2/4/2011,1,Rural-Local Road or Street,52,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Virginia,Clear,2/4/2011,1,Urban-Other Principal Arterial,39,Driver of a Motor Vehicle In-Transport,No Injury (O),5
Virginia,Clear,2/4/2011,1,Urban-Other Principal Arterial,87,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Alabama,"Sleet, Hail (Freezing Rain or Drizzle)",2/4/2011,2,Rural-Major Collector,46,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),5
Alabama,"Sleet, Hail (Freezing Rain or Drizzle)",2/4/2011,2,Rural-Major Collector,56,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),5
Alabama,"Sleet, Hail (Freezing Rain or Drizzle)",2/4/2011,2,Rural-Major Collector,71,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Alabama,"Sleet, Hail (Freezing Rain or Drizzle)",2/4/2011,1,Rural-Principal Arterial-Interstate,3,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),5
Alabama,"Sleet, Hail (Freezing Rain or Drizzle)",2/4/2011,1,Rural-Principal Arterial-Interstate,33,Driver of a Motor Vehicle In-Transport,No Injury (O),5
Alabama,"Sleet, Hail (Freezing Rain or Drizzle)",2/4/2011,1,Rural-Principal Arterial-Interstate,39,Passenger of a Motor Vehicle In-Transport,No Injury (O),5
Alabama,"Sleet, Hail (Freezing Rain or Drizzle)",2/4/2011,1,Rural-Principal Arterial-Interstate,65,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),5
Illinois,Snow,2/4/2011,1,Urban-Local Road or Street,,Driver of a Motor Vehicle In-Transport,No Injury (O),5
Maryland,Clear,2/4/2011,1,Rural-Major Collector,24,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),5
Washington,Clear,2/4/2011,1,Urban-Minor Arterial,16,Pedestrian,Non-incapacitating Evident Injury (B),5
Washington,Clear,2/4/2011,1,Urban-Minor Arterial,21,Driver of a Motor Vehicle In-Transport,No Injury (O),5
Michigan,Clear,2/4/2011,1,Rural-Minor Arterial,11,Passenger of a Motor Vehicle In-Transport,Possible Injury (C),5
Michigan,Clear,2/4/2011,1,Rural-Minor Arterial,19,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Michigan,Clear,2/4/2011,1,Rural-Minor Arterial,45,Driver of a Motor Vehicle In-Transport,Possible Injury (C),5
Illinois,Clear,2/4/2011,1,Rural-Minor Arterial,27,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),5
Hawaii,Clear,2/4/2011,1,Urban-Principal Arterial-Interstate,18,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),5
Hawaii,Clear,2/4/2011,1,Urban-Principal Arterial-Interstate,19,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),5
Hawaii,Clear,2/4/2011,1,Urban-Principal Arterial-Interstate,20,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),5
Hawaii,Clear,2/4/2011,1,Urban-Principal Arterial-Interstate,20,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),5
North Dakota,Clear,2/5/2011,1,Rural-Local Road or Street,42,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Massachusetts,Clear,2/5/2011,1,Rural-Major Collector,19,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Minnesota,"Fog, Smog, Smoke",2/5/2011,1,Urban-Other Principal Arterial,29,Driver of a Motor Vehicle In-Transport,No Injury (O),6
Minnesota,"Fog, Smog, Smoke",2/5/2011,1,Urban-Other Principal Arterial,60,Driver of a Motor Vehicle In-Transport,Possible Injury (C),6
West Virginia,Rain,2/5/2011,1,Rural-Major Collector,74,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Washington,Rain,2/5/2011,2,Urban-Collector,18,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),6
Colorado,Snow,2/5/2011,2,Rural-Principal Arterial-Other,19,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),6
Colorado,Snow,2/5/2011,2,Rural-Principal Arterial-Other,19,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),6
Colorado,Snow,2/5/2011,2,Rural-Principal Arterial-Other,72,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),6
Colorado,Snow,2/5/2011,2,Rural-Principal Arterial-Other,75,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Colorado,Snow,2/5/2011,1,Rural-Principal Arterial-Other,51,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),6
Iowa,Clear,2/5/2011,1,Urban-Other Principal Arterial,41,Driver of a Motor Vehicle In-Transport,No Injury (O),6
Iowa,Clear,2/5/2011,1,Urban-Other Principal Arterial,46,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),6
Maryland,Clear,2/5/2011,1,Rural-Local Road or Street,6,Passenger of a Motor Vehicle In-Transport,Possible Injury (C),6
Maryland,Clear,2/5/2011,1,Rural-Local Road or Street,49,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
South Carolina,Cloudy,2/5/2011,1,Rural-Major Collector,49,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
South Carolina,Cloudy,2/5/2011,1,Rural-Major Collector,51,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),6
Arkansas,Clear,2/5/2011,1,Rural-Principal Arterial-Interstate,35,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),6
Illinois,Clear,2/5/2011,2,Urban-Local Road or Street,52,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Illinois,Clear,2/5/2011,2,Urban-Local Road or Street,52,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),6
South Carolina,Clear,2/5/2011,1,Rural-Unknown Rural,54,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Arkansas,Clear,2/5/2011,1,Rural-Local Road or Street,15,Passenger of a Motor Vehicle In-Transport,Possible Injury (C),6
Virginia,Clear,2/5/2011,1,Rural-Principal Arterial-Other,24,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),6
Virginia,Clear,2/5/2011,1,Rural-Principal Arterial-Other,29,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),6
Alabama,Rain,2/5/2011,1,Rural-Major Collector,27,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Tennessee,Clear,2/5/2011,1,Urban-Minor Arterial,19,Pedestrian,Incapacitating Injury (A),6
Tennessee,Clear,2/5/2011,1,Urban-Minor Arterial,19,Pedestrian,Fatal Injury (K),6
Tennessee,Clear,2/5/2011,1,Urban-Minor Arterial,34,Passenger of a Motor Vehicle In-Transport,No Injury (O),6
Pennsylvania,"Sleet, Hail (Freezing Rain or Drizzle)",2/5/2011,1,Rural-Minor Arterial,50,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Arizona,Clear,2/5/2011,1,Rural-Major Collector,59,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Arizona,Clear,2/5/2011,1,Urban-Minor Arterial,23,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),6
Mississippi,Clear,2/5/2011,1,Urban-Local Road or Street,37,Driver of a Motor Vehicle In-Transport,No Injury (O),6
New York,Clear,2/5/2011,1,Rural-Principal Arterial-Other,19,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Mississippi,Clear,2/5/2011,1,Urban-Other Principal Arterial,12,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Mississippi,Clear,2/5/2011,1,Urban-Other Principal Arterial,47,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Mississippi,Clear,2/5/2011,1,Urban-Local Road or Street,58,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Pennsylvania,Snow,2/5/2011,1,Rural-Minor Arterial,83,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Alabama,Rain,2/5/2011,1,Rural-Local Road or Street,26,Passenger of a Motor Vehicle In-Transport,No Injury (O),6
Michigan,Blowing Snow,2/5/2011,1,Rural-Principal Arterial-Interstate,33,Driver of a Motor Vehicle In-Transport,No Injury (O),6
Michigan,Blowing Snow,2/5/2011,1,Rural-Principal Arterial-Interstate,35,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),6
Michigan,Blowing Snow,2/5/2011,1,Rural-Principal Arterial-Interstate,39,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Michigan,Blowing Snow,2/5/2011,1,Rural-Principal Arterial-Interstate,63,Passenger of a Motor Vehicle In-Transport,No Injury (O),6
New York,Snow,2/5/2011,1,Rural-Principal Arterial-Other,56,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Pennsylvania,"Sleet, Hail (Freezing Rain or Drizzle)",2/5/2011,2,Urban-Minor Arterial,22,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Maryland,Rain,2/5/2011,1,Urban-Minor Arterial,18,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Pennsylvania,Rain,2/5/2011,1,Rural-Local Road or Street,24,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
South Dakota,Cloudy,2/6/2011,1,Rural-Principal Arterial-Interstate,4,Passenger of a Motor Vehicle In-Transport,No Injury (O),7
South Dakota,Cloudy,2/6/2011,1,Rural-Principal Arterial-Interstate,12,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),7
South Dakota,Cloudy,2/6/2011,1,Rural-Principal Arterial-Interstate,32,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),7
South Dakota,Cloudy,2/6/2011,1,Rural-Principal Arterial-Interstate,2,Passenger of a Motor Vehicle In-Transport,No Injury (O),7
South Dakota,Cloudy,2/6/2011,1,Rural-Principal Arterial-Interstate,20,Driver of a Motor Vehicle In-Transport,Possible Injury (C),7
New Mexico,Clear,2/6/2011,1,Rural-Principal Arterial-Other,21,Occupant of a Motor Vehicle Not In- Transport,No Injury (O),7
New Mexico,Clear,2/6/2011,1,Rural-Principal Arterial-Other,45,Pedestrian,Non-incapacitating Evident Injury (B),7
New Mexico,Clear,2/6/2011,1,Rural-Principal Arterial-Other,61,Driver of a Motor Vehicle In-Transport,Possible Injury (C),7
Iowa,Snow,2/6/2011,1,Rural-Major Collector,33,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),7
Iowa,Blowing Snow,2/6/2011,1,Rural-Principal Arterial-Other,2,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),7
Minnesota,Snow,2/6/2011,1,Urban-Local Road or Street,22,Driver of a Motor Vehicle In-Transport,No Injury (O),7
Washington,Rain,2/6/2011,3,Rural-Principal Arterial-Other,10,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),7
Washington,Rain,2/6/2011,3,Rural-Principal Arterial-Other,44,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),7
Washington,Rain,2/6/2011,3,Rural-Principal Arterial-Other,45,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),7
Washington,Rain,2/6/2011,3,Rural-Principal Arterial-Other,65,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),7
Kansas,Clear,2/6/2011,1,Urban-Minor Arterial,85,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),7
Oregon,Cloudy,2/6/2011,1,Urban-Other Principal Arterial,23,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),7
Ohio,Cloudy,2/6/2011,2,Rural-Local Road or Street,18,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),7
Oklahoma,Rain,2/6/2011,1,Rural-Principal Arterial-Other,4,Passenger of a Motor Vehicle In-Transport,Possible Injury (C),7
Oklahoma,Rain,2/6/2011,1,Rural-Principal Arterial-Other,36,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),7
Oklahoma,Rain,2/6/2011,1,Rural-Principal Arterial-Other,36,Passenger of a Motor Vehicle In-Transport,Possible Injury (C),7
Illinois,Snow,2/6/2011,1,Urban-Other Principal Arterial,40,Driver of a Motor Vehicle In-Transport,No Injury (O),7
Illinois,Snow,2/6/2011,1,Urban-Other Principal Arterial,40,Pedestrian,Fatal Injury (K),7
South Carolina,Clear,2/6/2011,1,Rural-Major Collector,37,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),7
Missouri,Cloudy,2/6/2011,2,Rural-Minor Arterial,18,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),7
Missouri,Cloudy,2/6/2011,2,Rural-Minor Arterial,18,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),7
Kentucky,Clear,2/6/2011,1,Rural-Major Collector,20,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),7
Kentucky,Clear,2/6/2011,1,Rural-Major Collector,53,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),7
Kentucky,Clear,2/6/2011,2,Rural-Principal Arterial-Other,42,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),7
Kentucky,Clear,2/6/2011,2,Rural-Principal Arterial-Other,44,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),7
Maryland,Clear,2/6/2011,1,Urban-Other Principal Arterial,16,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),7
Florida,Cloudy,2/6/2011,1,Urban-Other Principal Arterial,54,Driver of a Motor Vehicle In-Transport,No Injury (O),7
Florida,Cloudy,2/6/2011,1,Urban-Other Principal Arterial,57,Passenger of a Motor Vehicle In-Transport,No Injury (O),7
Arizona,Clear,2/6/2011,1,Urban-Minor Arterial,22,Driver of a Motor Vehicle In-Transport,No Injury (O),7
Arizona,Clear,2/6/2011,1,Urban-Minor Arterial,46,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),7
Arizona,Clear,2/6/2011,1,Urban-Minor Arterial,67,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),7
Michigan,Snow,2/6/2011,1,Rural-Minor Arterial,21,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),7
Michigan,Snow,2/6/2011,1,Rural-Minor Arterial,58,Passenger of a Motor Vehicle In-Transport,Possible Injury (C),7
Michigan,Snow,2/6/2011,1,Rural-Minor Arterial,59,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),7
Hawaii,Clear,2/6/2011,1,Urban-Collector,9,Passenger of a Motor Vehicle In-Transport,No Injury (O),7
Hawaii,Clear,2/6/2011,1,Urban-Collector,41,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),7
Hawaii,Clear,2/6/2011,1,Urban-Collector,87,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),7
Michigan,Cloudy,2/6/2011,1,Urban-Principal Arterial-Interstate,55,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),7
